09-04-2026 15:48:45 RAM 14269/125749MB (lfb 764x4MB) CPU [9%@972,0%@972,1%@972,31%@972,1%@972,0%@972,0%@972,2%@972,1%@972,0%@972,0%@972,0%@972,2%@972,0%@972] cpu@33.781C/33.781C tj@35.875C/35.875C soc012@33.406C/34.125C soc345@35.343C/35.343C VDD_GPU 18135mW/3648mW/18135mW VDD_CPU_SOC_MSS 11034mW/5913mW/11034mW VIN_SYS_5V0 15774mW/7055mW/15774mW VIN 63742mW/23394mW/63742mW
09-04-2026 15:48:46 RAM 14263/125749MB (lfb 763x4MB) CPU [1%@972,0%@972,1%@972,1%@972,0%@972,0%@972,0%@972,1%@972,0%@972,2%@972,0%@972,0%@972,0%@972,4%@972] cpu@34.187C/34.187C tj@36.5C/36.5C soc012@33.875C/34.125C soc345@35.937C/35.937C VDD_GPU 23644mW/3947mW/23644mW VDD_CPU_SOC_MSS 12216mW/6007mW/12216mW VIN_SYS_5V0 18677mW/7229mW/18677mW VIN 68684mW/24060mW/68684mW
09-04-2026 15:48:47 RAM 14237/125749MB (lfb 765x4MB) CPU [1%@972,0%@972,1%@972,6%@972,0%@972,4%@972,0%@972,0%@972,0%@972,1%@972,1%@972,0%@972,12%@972,3%@972] cpu@34.5C/34.5C tj@36.718C/36.718C soc012@34.062C/34.125C soc345@36.093C/36.093C VDD_GPU 22856mW/4221mW/23644mW VDD_CPU_SOC_MSS 12216mW/6097mW/12216mW VIN_SYS_5V0 18172mW/7387mW/18677mW VIN 67800mW/24685mW/68684mW
09-04-2026 15:48:48 RAM 14228/125749MB (lfb 767x4MB) CPU [0%@972,0%@972,0%@972,0%@972,0%@972,2%@972,0%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972] cpu@34.75C/34.75C tj@36.875C/36.875C soc012@34.375C/34.375C soc345@36.468C/36.468C VDD_GPU 24038mW/4500mW/24038mW VDD_CPU_SOC_MSS 12216mW/6183mW/12216mW VIN_SYS_5V0 18778mW/7548mW/18778mW VIN 53220mW/25081mW/68684mW
09-04-2026 15:48:49 RAM 14212/125749MB (lfb 768x4MB) CPU [1%@972,0%@972,0%@972,6%@972,0%@972,7%@972,0%@972,0%@972,0%@972,4%@972,0%@972,1%@972,12%@972,1%@972] cpu@34.625C/34.75C tj@36.968C/36.968C soc012@34.437C/34.437C soc345@36.343C/36.468C VDD_GPU 20500mW/4719mW/24038mW VDD_CPU_SOC_MSS 11034mW/6249mW/12216mW VIN_SYS_5V0 16684mW/7673mW/18778mW VIN 57574mW/25521mW/68684mW
09-04-2026 15:48:50 RAM 14206/125749MB (lfb 770x4MB) CPU [3%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,0%@972,0%@972,0%@972,1%@972,0%@972,1%@972,0%@972] cpu@35.031C/35.031C tj@37.218C/37.218C soc012@34.687C/34.687C soc345@36.625C/36.625C VDD_GPU 21280mW/4940mW/24038mW VDD_CPU_SOC_MSS 11428mW/6318mW/12216mW VIN_SYS_5V0 17089mW/7799mW/18778mW VIN 59842mW/25972mW/68684mW
09-04-2026 15:48:51 RAM 14189/125749MB (lfb 771x4MB) CPU [2%@972,0%@972,1%@972,6%@972,0%@972,7%@972,0%@972,0%@972,0%@972,0%@972,0%@972,2%@972,12%@972,1%@972] cpu@35.187C/35.187C tj@37.437C/37.437C soc012@34.937C/34.937C soc345@36.875C/36.875C VDD_GPU 18915mW/5121mW/24038mW VDD_CPU_SOC_MSS 11034mW/6380mW/12216mW VIN_SYS_5V0 15749mW/7902mW/18778mW VIN 67770mW/26508mW/68684mW
09-04-2026 15:48:52 RAM 14181/125749MB (lfb 771x4MB) CPU [1%@972,0%@972,0%@972,0%@972,0%@972,3%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972,0%@972] cpu@35.531C/35.531C tj@37.843C/37.843C soc012@35.125C/35.125C soc345@37.187C/37.187C VDD_GPU 23644mW/5356mW/24038mW VDD_CPU_SOC_MSS 12216mW/6453mW/12216mW VIN_SYS_5V0 18576mW/8037mW/18778mW VIN 67516mW/27021mW/68684mW
09-04-2026 15:48:53 RAM 14998/125749MB (lfb 584x4MB) CPU [1%@972,0%@972,1%@972,7%@972,0%@972,1%@972,0%@972,0%@972,0%@972,1%@972,0%@972,0%@972,65%@2601,0%@2601] cpu@35.187C/35.531C tj@36.093C/37.843C soc012@35.062C/35.125C soc345@35.656C/37.187C VDD_GPU 8279mW/5392mW/24038mW VDD_CPU_SOC_MSS 8279mW/6476mW/12216mW VIN_SYS_5V0 8769mW/8046mW/18778mW VIN 26298mW/27012mW/68684mW
09-04-2026 15:48:54 RAM 16541/125749MB (lfb 201x4MB) CPU [1%@972,0%@972,1%@972,0%@972,0%@972,9%@972,0%@972,0%@972,0%@972,5%@972,0%@972,1%@972,100%@2601,0%@2601] cpu@35.031C/35.531C tj@35.718C/37.843C soc012@34.937C/35.125C soc345@35.343C/37.187C VDD_GPU 3942mW/5375mW/24038mW VDD_CPU_SOC_MSS 7490mW/6488mW/12216mW VIN_SYS_5V0 6552mW/8028mW/18778mW VIN 23746mW/26973mW/68684mW
